AFST-30606-01		Black Chicago Politics	Pinderhughes, Dianne	African Studies	2013-12-23	2014-05-09	Spring$$1NA
IRST-30362-01		Intro to the Irish Song Tradit	Goan, Cathal	Irish Studies	2012-08-06	2012-12-14	Fall$$1NA
IIPS-80201-01		Contending Modernities	Appleby, Robert	Institute for International Peace Studies	2013-08-05	2013-12-20	Fall$$1NA
ENGL-40265-01		The Literatures of Sixteenth- and Seventeenth-Century Ireland	McKibben, Sarah	English	2013-12-20	2014-05-09	Spring$$1NA
POLS-53002-06		Politics & the Internet	Abbey, Ruth	Political Science	2011-01-03	2011-05-13	Spring$$1NA
MGT-20200-04		Principles of Management	Halvorsen-Ganepola, M.	Management	2013-12-23	2014-05-09	$$1Spring$$2NA
FTT-20280-01		Monstrous Modernities	Larsen, Alexander	Literature	2013-08-05	2013-12-20	Fall$$1NA
ARHI-30213-01		Byzantine Art	Barber, Charles	Art History	2011-01-03	2011-05-13	Spring$$1NA
CSE-30338-01		Chemical Process Control	Kantor, Jeffrey	Chemical & Biomolecular Engineering	2014-12-20	2015-05-08	$$1Spring
THEO-20001-07		Foundations of Theology	Connors, Michael	Theology	2011-08-08	2011-12-16	Fall$$1NA
POLS-30344-01		Alternative and International Perspectives in International Relations Theory	Garcia Iommi, Lucrecia	Political Science	2010-01-04	2010-05-07	Spring ENG$$1NA
THEO-20847-01		Christianity and the Challenge of Buddhism	Gimello, Robert	Theology	2010-01-04	2010-05-07	Spring ENG$$1NA
AME-50652-01		Intermediate Controls	Hoelzle, David	Aerospace & Mechanical Engineering	2014-12-20	2015-05-08	$$1Spring
POLS-43001-04		JrSem:Democ/Citizenship/Africa	Bleck, Jaimie	Political Science	2013-08-05	2013-12-20	Fall$$1NA
HIST-30753-01		Chicano Movement	Rodriguez, Marc	History	2010-01-05	2010-05-07	Spring ENG$$1NA
IRLL-30115-01		Folklore and Irish History	Gillan, Jeremiah	Irish Language and Literature	2013-08-05	2013-12-20	Fall$$1NA
BIOS-30420-01		Aquatic Ecology	Hellenthal, Ronald	Biology	2010-08-09	2010-12-17	Fall$$1NA
CSE-60321-01		Advanced Computer Architecture	Hu, Xiabo	Computer Science & Engineering	2014-12-20	2015-05-08	$$1Spring
IRLL-70111-01		National Descriptions	Gillan, Jeremiah	Irish Language and Literature	2013-08-05	2013-12-20	Fall$$1NA
AME-20231-02		Thermodynamics	Luo, Tengfei	Aerospace & Mechanical Engineering	2014-12-20	2015-05-08	$$1Spring
MSM-60642-01		Choral Literature II	Doerries, Mark	Music	2014-07-28	2014-12-19	Fall$$1NA
ROIT-63510-01		Film and Literature in Italy	Welle, John	Italian	2014-07-28	2014-12-19	Fall$$1NA
POLS-40261-01		The Politics of International Trade	Guisinger, Alexandra	Political Science	2013-08-05	2013-12-20	Fall$$1NA
THEO-20659-01		War, Peace, and Revolution	Hamilton-Vise, Brian	Theology	2013-08-05	2013-12-20	Fall$$1NA
HIST-30852-01		U.S. Foreign Policy since 1898	Greene, Peter	History	2013-08-05	2013-12-20	Fall$$1NA
POLS-60405-01		Comparative Politics and Party Systems	McGraw, Sean	Political Science	2011-01-03	2011-05-13	Spring$$1NA
ARHI-20300-01		Introduction to Renaissance Art	Rosenberg, Charles	Art History	2011-08-08	2011-12-16	Fall$$1NA
THEO-30042-01		Know Your Catholic Faith: The Cross	Walatka, Todd	Theology	2013-08-05	2013-12-20	Fall$$1NA
FIN-40630-01		Options and Futures	Hemler, Mike	Finance	2014-07-28	2014-12-19	Fall$$1NA
HIST-30021-01		Hist of Medical Sciences	Hamlin, Christopher	History	2012-08-06	2012-12-14	Fall$$1NA
IIPS-60303-01		Political Economy of War and Peace	Ruccio, David	Institute for International Peace Studies	2011-12-19	2012-05-11	Spring$$1NA
HIST-10050-01		Early Africa and the Slave Trade	Ocobock, Paul	History	2012-08-06	2012-12-14	Fall$$1NA
ARCH-11021-01		Graphics II : Drafting	Mellor, John	Architecture	2014-12-20	2015-05-08	$$1Spring
BACM-30400-02		Business Speaking	Tuleja, Elizabeth	Management	2014-12-20	2015-03-16	$$1Spring
HIST-93050-01		Topics in Modern African History	Ocobock, Paul	History	2012-08-06	2012-12-14	Fall$$1NA
